Date,Open,High,Low,Close*,Adj Close**,Volume,,
11/04/13,"3,368.00","3,387.25","3,366.75","3,377.50","3,377.50","142,512",,
10/31/13,"3,377.25","3,388.50","3,357.50","3,368.00","3,368.00","230,311",,
10/30/13,"3,380.00","3,394.00","3,360.75","3,369.00","3,369.00","252,511",,
10/29/13,"3,390.25","3,401.75","3,364.25","3,392.25","3,392.25","287,566",,
10/28/13,"3,377.75","3,392.25","3,368.50","3,384.00","3,384.00","208,676",,
10/27/13,"3,374.25","3,391.00","3,360.75","3,383.25","3,383.25","196,908",,
10/24/13,"3,376.75","3,392.75","3,361.25","3,373.75","3,373.75","223,017",,
10/23/13,"3,342.25","3,379.75","3,335.50","3,371.00","3,371.00","191,455",,
10/22/13,"3,356.00","3,357.25","3,322.25","3,340.00","3,340.00","244,371",,
10/21/13,"3,353.00","3,377.25","3,338.00","3,356.50","3,356.50","330,951",,
10/20/13,"3,344.75","3,362.25","3,342.50","3,354.00","3,354.00","175,096",,
10/17/13,"3,307.50","3,348.00","3,306.75","3,342.00","3,342.00","235,866",,
10/16/13,"3,260.25","3,310.50","3,255.25","3,301.00","3,301.00","209,745",,
10/15/13,"3,240.50","3,276.50","3,234.75","3,264.00","3,264.00","228,467",,
10/14/13,"3,253.50","3,263.50","3,234.00","3,240.75","3,240.75","329,005",,
10/13/13,"3,205.00","3,255.00","3,195.00","3,248.25","3,248.25","233,830",,
10/10/13,"3,193.50","3,230.50","3,175.75","3,225.50","3,225.50","230,009",,
10/09/13,"3,132.75","3,209.50","3,132.75","3,193.50","3,193.50","342,187",,
10/08/13,"3,146.25","3,164.00","3,110.75","3,132.50","3,132.50","441,570",,
10/07/13,"3,206.50","3,214.50","3,144.25","3,150.75","3,150.75","418,005",,
10/06/13,"3,224.00","3,232.75","3,201.75","3,205.00","3,205.00","239,190",,
10/03/13,"3,201.25","3,239.50","3,199.50","3,234.50","3,234.50","201,543",,
10/02/13,"3,239.75","3,248.00","3,189.25","3,202.25","3,202.25","361,785",,
10/01/13,"3,251.00","3,251.00","3,221.00","3,237.50","3,237.50","241,342",,
09/30/13,"3,221.25","3,251.25","3,213.00","3,245.50","3,245.50","250,343",,
09/29/13,"3,211.50","3,223.25","3,178.25","3,209.00","3,209.00","281,669",,
09/26/13,"3,229.75","3,233.50","3,203.00","3,223.00","3,223.00","193,112",,
09/25/13,"3,202.50","3,235.25","3,202.25","3,226.00","3,226.00","208,824",,
09/24/13,"3,215.25","3,220.50","3,195.75","3,200.00","3,200.00","250,162",,
09/23/13,"3,211.00","3,230.75","3,202.75","3,213.25","3,213.25","178,347",,
09/22/13,"3,222.75","3,237.00","3,198.00","3,209.00","3,209.00","237,538",,
09/19/13,"3,239.50","3,251.50","3,234.00","3,248.00","3,248.00","208,460",,
09/18/13,"3,232.00","3,245.00","3,232.00","3,239.25","3,239.25","46,234",,
09/17/13,"3,192.75","3,236.25","3,189.75","3,228.75","3,228.75","56,730",,
09/16/13,"3,168.75","3,196.00","3,163.00","3,190.75","3,190.75","92,803",,
09/15/13,"3,196.25","3,219.25","3,163.00","3,167.75","3,167.75","128,600",,
09/12/13,"3,177.25","3,182.50","3,161.75","3,177.75","3,177.75","122,090",,
09/11/13,"3,184.25","3,186.75","3,170.25","3,176.00","3,176.00","227,594",,
09/10/13,"3,184.25","3,188.75","3,160.00","3,178.50","3,178.50","220,768",,
09/09/13,"3,171.50","3,189.25","3,167.25","3,182.75","3,182.75","230,771",,
09/08/13,"3,132.75","3,175.25","3,130.50","3,165.00","3,165.00","196,240",,
09/05/13,"3,128.50","3,150.25","3,096.50","3,129.50","3,129.50","281,130",,
09/04/13,"3,131.50","3,137.75","3,124.00","3,128.00","3,128.00","152,933",,
